127.0.0.1 - - [20/Oct/2024:18:29:10 +0530] "GET / HTTP/1.1" 200 10134
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:34:53 +0530] "GET / HTTP/1.1" 200 10134
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:34:53 +0530] "GET /css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:34:53 +0530] "GET /images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:34:53 +0530] "GET /css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:34:56 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:04 +0530] "GET /login HTTP/1.1" 200 10577
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:04 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:21 +0530] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:21 +0530] "GET / HTTP/1.1" 200 10559
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:21 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:30 +0530] "GET /dashboard HTTP/1.1" 200 24287
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:30 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:33 +0530] "GET /add-user HTTP/1.1" 200 14453
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:35:33 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:37:20 +0530] "POST /add-user HTTP/1.1" 200 15213
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:37:20 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:37:56 +0530] "POST /add-user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:37:56 +0530] "GET /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:37:57 +0530] "GET /profile HTTP/1.1" 200 10700
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:37:57 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:05 +0530] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:05 +0530] "GET /login HTTP/1.1" 200 10577
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:05 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:12 +0530] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:12 +0530] "GET / HTTP/1.1" 200 10551
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:12 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:17 +0530] "GET /profile HTTP/1.1" 200 10684
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:41:17 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:09 +0530] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:09 +0530] "GET /login HTTP/1.1" 200 10577
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:09 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:29 +0530] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:29 +0530] "GET / HTTP/1.1" 200 10557
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:29 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:34 +0530] "GET /dashboard HTTP/1.1" 200 24965
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:34 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:38 +0530] "GET /delete-user?id=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:38 +0530] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:38 +0530] "GET /login HTTP/1.1" 200 10577
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:42:38 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:44:27 +0530] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:44:27 +0530] "GET / HTTP/1.1" 200 10561
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:44:27 +0530] "GET /css/style.css HTTP/1.1" 404 225
0:0:0:0:0:0:0:1 - - [20/Oct/2024:18:44:35 +0530] "GET /profile HTTP/1.1" 200 10703
